"Category","Occurrence","Action item","Subject","Group","Description","Documentation references","Recommended action","Filtered","Estimated complexity","Line","Position","Source","Target","Server IP address and port","Database name","Schema name"
"procedure","Schemas.HR.Procedures.SECURE_DML","5584","STANDARD.SYSDATE()","Review the converted function","The STANDARD.SYSDATE() function depends on the time zone settings","http://www.postgresql.org/docs/current/static/functions-datetime.html","Review the converted code and set the time zone manually where necessary.","","Simple","4","44","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"procedure","Schemas.HR.Procedures.SECURE_DML","5584","STANDARD.SYSDATE()","Review the converted function","The STANDARD.SYSDATE() function depends on the time zone settings","http://www.postgresql.org/docs/current/static/functions-datetime.html","Review the converted code and set the time zone manually where necessary.","","Simple","5","116","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"view","Schemas.HR.Views.EMP_DETAILS_VIEW","5075","","PostgreSQL doesn't support the WITH READ ONLY clause for views","PostgreSQL doesn't support the WITH READ ONLY clause for views","http://www.postgresql.org/docs/current/static/sql-createview.html","Revise your code to use views without the subquery restriction clause.","","Simple","30","524","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"view","Schemas.CO.Views.CUSTOMER_ORDER_PRODUCTS","5320","","PostgreSQL doesn't support views with the INVALID status","PostgreSQL doesn't support views with the INVALID status","http://www.postgresql.org/docs/current/static/sql-createview.html","Convert your source code manually.","","Simple","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"view","Schemas.CO.Views.PRODUCT_ORDERS","5320","","PostgreSQL doesn't support views with the INVALID status","PostgreSQL doesn't support views with the INVALID status","http://www.postgresql.org/docs/current/static/sql-createview.html","Convert your source code manually.","","Simple","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"view","Schemas.CO.Views.STORE_ORDERS","5320","","PostgreSQL doesn't support views with the INVALID status","PostgreSQL doesn't support views with the INVALID status","http://www.postgresql.org/docs/current/static/sql-createview.html","Convert your source code manually.","","Simple","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"view","Schemas.CO.Views.PRODUCT_REVIEWS","9997","r.rating","Unable to resolve objects","Unable to resolve the object r.rating","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","1","23","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"view","Schemas.CO.Views.PRODUCT_REVIEWS","9997","r.rating","Unable to resolve objects","Unable to resolve the object r.rating","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","3","67","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"view","Schemas.CO.Views.PRODUCT_REVIEWS","9997","r.review","Unable to resolve objects","Unable to resolve the object r.review","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","8","183","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"view","Schemas.CO.Views.CUSTOMER_ORDER_PRODUCTS","5341","","PostgreSQL doesn't support LISTAGG functions with the ON OVERFLOW clause. ","PostgreSQL doesn't support LISTAGG functions with the ON OVERFLOW clause. ","","Revise your code to use another function or create a user-defined function.","","Medium","6","222","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
