"Category","Number of objects","Objects automatically converted","Objects with simple actions","Objects with medium-complexity actions","Objects with complex actions","Total lines of code"
"PROCEDURE","2","1","1","0","0","22"
"VIEW","5","0","3","1","1","104"
"TRIGGER","2","0","0","0","2","7"
"SEQUENCE","3","3","0","0","0","18"
"INDEX","18","18","0","0","0","198"
"CONSTRAINT","44","44","0","0","0","81"
"TABLE","15","14","1","0","0","352"
"SCHEMA","2","2","0","0","0","2"
"SQL_syntax_elements_number","2434","2344","","",""
"Storage_objects_count","82","82","","",""
"Code_objects_count","9","5","","",""

"Source database: HR.Oracle_bosdbdev"
"Oracle Database 19c Enterprise Edition 19.3.0.0.0 (Production), Enterprise edition"
